OWNER,DAY,ADDR,ADDR_DETAIL,LAT,LON,PERSONNEL,FIELD_NAME,Teaching field name,Teaching course list name,Teaching course name,Tuition
엠수학교습소,20130605,대구광역시 달서구 월배로11길 2,/ 2층 일부 (진천동),35.81413377,128.5207886,24,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):166000/ 수학(중등):200000/ 수학(고등):250000/ 수학(중등):257000
엠수학교습소,20170622,대구광역시 달서구 상원로 121,/ 2층 일부 (상인동),35.81932147,128.5307158,12,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):160000/ 수학(중등):300000/ 수학(고등):350000
엠수학교습소,20160119,대구광역시 북구 대천로 100,/ 213동 2층 203호 (동천동),35.93544537,128.559366,20,입시.검정 및 보습,보통교과,수학(초등),보습,
엠수학교습소,20200729,대구광역시 중구 달구벌대로 1955,/ 301동201호 (대신동/ 대신센트럴자이),35.86600714,128.5775128,16,입시.검정 및 보습,보통교과,,보습,
엠스토리수학교습소,20131231,대구광역시 달성군 화원읍 화암로 88,/ 명곡미래빌4단지상가 206호 (화원읍/명곡미래빌4단지),35.79798543,128.4983712,28,입시.검정 및 보습,보통교과,초등A,보습,초등A:120000/ 초등B:160000/ 중등A:180000/ 중등B:210000/ 고등A:220000/ 고등B:250000/ 고등C:320000
엠실용음악학원,19960109,대구광역시 달서구 월배로 134,  3층 (진천동),35.81520911,128.5289591,165,종합(대),,음악/,,
엠씨수학학원,20120524,대구광역시 달서구 월곡로 223,/ 4층 (상인동),35.81471355,128.5411729,28,입시.검정 및 보습,보통교과,보습/,보습,
엠아트스쿨미술학원,20071031,대구광역시 북구 칠곡중앙대로 463,/ 2/3층 (관음동),35.93719762,128.5488344,120,예능(대),예능(중),미술/,미술,
엠앤엠수학학원,20180220,대구광역시 북구 복현로 137,/ 상가동 302호 (복현동/ 복현대백맨션),35.90158355,128.6166022,48,입시.검정 및 보습,보통교과,보습/,보습,
엠앤케이피아노교습소,20220215,대구광역시 동구 반야월북로 261,/ 1층 (신서동),35.87272127,128.7263111,5,예능(대),예능(중),,음악,
엠에스수학학원,20181226,대구광역시 달서구 월배로11길 14,/ 401호 (진천동),35.8147612,128.5207966,40,입시.검정 및 보습,보통교과,보습/,보습,
엠에이디영어교습소,20161125,대구광역시 달서구 월서로3길 27,/ 302호 일부 (상인동),35.81897616,128.5342846,12,입시.검정 및 보습,보통교과,,보습,
엠에이에스수학과학학원,20080905,대구광역시 달서구 한들로 13,/ 6층 (장기동),35.84810577,128.5290595,195,입시.검정 및 보습,보통교과,,보습,
엠에프엠섬유패션학원,20120106,대구광역시 중구 명덕로 169,/ 4층 (남산동),35.85705116,128.5885949,158,직업기술,산업기반기술,의복/,의복,
엠엠에스수학교습소,20160921,대구광역시 달서구 조암남로27길 23,/ 1층 (대천동),35.81709281,128.5202498,16,입시.검정 및 보습,보통교과,수학(초등1/2/3/4학년),보습,수학(초등1/2/3/4학년):170000/ 수학(초등5/6학년):260000/ 수학(중등):300000/ 수학(고등):430000
엠오디수학학원,20180514,대구광역시 달서구 조암로 17,/ 4층일부 (월성동),35.82502485,128.5279766,100,입시.검정 및 보습,보통교과,보습/,보습,
엠음악학원,20081020,대구광역시 달서구 월서로 28,  3층 (상인동),35.82057561,128.5317615,230,예능(대),예능(중),음악/,음악,
엠제이수학과학학원,20200207,대구광역시 수성구 달구벌대로 3294,/ 505호 (신매동/ 시지퍼스트),35.83639281,128.7158879,105,입시.검정 및 보습,보통교과,,보습,
엠제이영어교습소,20140613,대구광역시 수성구 상화로5길 43,/ 2층 (상동),35.83663092,128.6093713,36,입시.검정 및 보습,보통교과,,보습,
엠제이잉글리시(MJ Engliish)영어교습소,20211221,대구광역시 수성구 동대구로 336,/ 103-B호 (범어동/ 마크팰리스 범어),35.86038726,128.6273695,42,입시.검정 및 보습,보통교과,,보습,
엠제이통수학영어학원,20180314,대구광역시 달서구 학산로 14,/ 3층일부 (월성동),35.8265117,128.531431,90,입시.검정 및 보습,보통교과,보습/,보습,
엠제이학원,20210526,대구광역시 수성구 달구벌대로492길 49,/ 3층 (범어동),35.85723382,128.6354825,120,입시.검정 및 보습,보통교과,,보습,
엠즈에듀학원,20140428,대구광역시 수성구 달구벌대로 2489,/ 2층 일부 (범어동/범어동 합동빌딩),35.85916385,128.634933,50,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),
엠클래스수학교습소,20211222,대구광역시 북구 성북로 31,/ 3층 (침산동),35.89113215,128.5869861,48,입시.검정 및 보습,보통교과,,보습,
엠탑수학교습소,20171218,대구광역시 달서구 송현로7길 20,/ 1222동 312호 일부 (상인동/ 상인화성파크드림1단지아파트),35.82091917,128.5463538,36,입시.검정 및 보습,보통교과,초등수학,보습,
엠탑학원,20201118,대구광역시 수성구 달구벌대로492길 43,/ 5층 (범어동),35.85723739,128.6350097,520,입시.검정 및 보습,보통교과,보습/,보습,
엠톡수학교습소,20190214,대구광역시 동구 신암남로 20,/ 2층 (신암동),35.87775947,128.6181021,10,입시.검정 및 보습,보통교과,,보습,
엠투수학교습소,20140807,대구광역시 달서구 월배로33길 117,/ 302동 201호 (월성동/태왕 아너스 BEST),35.8207725,128.5261384,12,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:200000/ 중등수학:250000/ 고등수학:300000
엠투수학교습소,20131122,대구광역시 서구 국채보상로34길 12,/ 상가동 216호 일부 (중리동/중리롯데캐슬),35.86861727,128.5471212,14,입시.검정 및 보습,보통교과,,보습,
엠투스카이영어학원,20040128,대구광역시 달서구 월배로 323,/ 2층 (송현동),35.8245918,128.5458795,68,입시.검정 및 보습,보통교과,보습/,보습,
엠투엠수학과학학원,20190814,대구광역시 달성군 다사읍 대실역남로1길 26,/ 월성빌딩 2층 (다사읍),35.85209183,128.4673967,84,입시.검정 및 보습,보통교과,보습/,보습,
엠투엠수학학원,20170913,대구광역시 달성군 다사읍 대실역남로2길 20-4,/ 3층 (다사읍),35.85182699,128.4673691,84,입시.검정 및 보습,보통교과,보습/,보습,
엠포유수학전문학원,20220506,대구광역시 달성군 옥포읍 비슬로447길 56,/ 117동 202호 (옥포읍/ 미진이지비아),35.79529124,128.4659563,140,입시.검정 및 보습,보통교과,,보습,
엠포유수학학원,20121218,대구광역시 달성군 다사읍 달구벌대로 861,/ 6층 (다사읍),35.85914947,128.464243,90,입시.검정 및 보습,보통교과,보습/,보습,
엠포유입시학원,20060711,대구광역시 동구 반야월로 371,신서동 4층,35.87194034,128.7293285,36,입시.검정 및 보습,보통교과,보습/,보습,
엠프로고등관학원,20201203,대구광역시 달서구 조암로6길 6-45,/ 6층 일부 (월성동),35.82648992,128.5289243,96,입시.검정 및 보습,보통교과,보습/,보습,
엠프로수성점학원,20210709,대구광역시 수성구 청호로67길 84,/ 1층 (황금동),35.84828628,128.6356262,120,입시.검정 및 보습,보통교과,보습/,보습,
엠프로의대관학원,20180824,대구광역시 달서구 조암로 1,/ 8층/ 미래타워 (월성동),35.82567897,128.5297109,424,입시.검정 및 보습,보통교과,보습/,보습,
엠프로중등관학원,20210304,대구광역시 달서구 조암로6길 6-45,/ 701호 (월성동),35.82648992,128.5289243,114,입시.검정 및 보습,보통교과,보습/,보습,
